YBL002W	YOL108C
YBL002W	YOR116C
YBL002W	YOR207C
YBL002W	YOR304W
YBL002W	YPL082C
YBL002W	YPR010C
YBL002W	YPR175W
YBL002W	YPR190C
YBL003C	YBR017C
YBL003C	YCR057C
YBL003C	YDL188C
YBL003C	YOL004W
YBL003C	YOL054W
YBL003C	YPL153C
YBL004W	YBL038W
YBL004W	YBR009C
YBL004W	YBR143C
YBL004W	YBR247C
YBL004W	YBR251W
YBL004W	YCL059C
YBL004W	YCR057C
YBL004W	YDL213C
YBL004W	YDR060W
YBL004W	YDR280W
YBL004W	YER082C
YBL004W	YER100W
YBL004W	YGR090W
YBL004W	YGR220C
YBL004W	YHR089C
YBL004W	YLR074C
YBL004W	YNL110C
YBL004W	YNL284C
YBL004W	YOL139C
YBL004W	YPL043W
YBL004W	YPR137W
YBL007C	YCR030C
YBL007C	YFR024CA
YBL007C	YHR016C
YBL007C	YHR114W
YBL007C	YJL201W
YBL007C	YLR150W
YBL007C	YLR337C
YBL007C	YNL106C
YBL007C	YOR181W
YBL007C	YPR171W
YBL008W	YER082C
YBL015W	YJR035W
YBL015W	YJR068W
YBL015W	YMR059W
YBL015W	YPR110C
YBL016W	YGL158W
YBL016W	YNL053W
YBL017C	YDR432W
YBL017C	YOR181W
YBL017C	YPL049C
YBL018C	YBR167C
YBL021C	YDL185W
YBL021C	YGL237C
YBL021C	YML048W
YBL022C	YGR040W
YBL022C	YIL061C
YBL022C	YLR180W
YBL022C	YML029W
YBL022C	YOR136W
YBL023C	YBR126C
YBL023C	YDL171C
YBL023C	YOR080W
YBL023C	YPL001W
YBL024W	YBR084W
YBL024W	YDR382W
YBL024W	YNL284C
YBL026W	YCR077C
YBL026W	YDL097C
YBL026W	YDL160C
YBL026W	YER112W
YBL026W	YER146W
YBL026W	YGL234W
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJL124C
YBL026W	YJR022W
YBL026W	YLR074C
YBL026W	YMR268C
YBL026W	YNL147W
YBL029W	YKR036C
YBL030C	YBR017C
YBL030C	YGL137W
YBL030C	YKR026C
YBL032W	YBR084W
YBL032W	YGL049C
YBL032W	YGR162W
YBL032W	YLR150W
YBL032W	YLR175W
YBL032W	YML117W
YBL032W	YMR125W
YBL032W	YMR310C
YBL032W	YNL005C
YBL032W	YNL030W
YBL032W	YNL112W
YBL032W	YOL139C
YBL032W	YPL237W
YBL034C	YER177W
YBL035C	YBR084W
YBL035C	YBR087W
YBL035C	YDL058W
YBL035C	YIR008C
YBL035C	YKL045W
YBL035C	YNL102W
YBL035C	YNL290W
YBL035C	YNR052C
YBL035C	YOL094C
YBL035C	YOR217W
YBL036C	YDR023W
YBL036C	YDR226W
YBL036C	YDR342C
YBL036C	YDR343C
YBL036C	YGR087C
YBL036C	YMR319C
YBL036C	YOL078W
YBL037W	YJR005W
YBL037W	YJR058C
YBL037W	YOL062C
YBL038W	YCL014W
YBL038W	YDR164C
YBL038W	YDR237W
YBL038W	YDR322W
YBL038W	YDR462W
YBL038W	YER155C
YBL038W	YJL005W
YBL038W	YJL063C
YBL038W	YJL176C
YBL038W	YJR138W
YBL038W	YKR085C
YBL038W	YLR189C
YBL038W	YLR439W
YBL038W	YML025C
YBL038W	YMR024W
YBL038W	YNL005C
YBL038W	YNL284C
YBL038W	YOR150W
YBL038W	YOR290C
YBL038W	YPR100W
YBL039C	YDR260C
YBL039C	YDR388W
YBL039C	YDR394W
YBL039C	YFR004W
YBL039C	YGL048C
YBL039C	YGL081W
YBL039C	YGR262C
YBL039C	YHR200W
YBL039C	YIL094C
YBL039C	YJL138C
YBL039C	YJR109C
YBL039C	YKL196C
YBL039C	YKR059W
YBL039C	YLR180W
YBL039C	YMR012W
YBL039C	YMR024W
YBL039C	YOR117W
YBL039C	YOR151C
YBL039C	YOR261C
YBL039C	YOR388C
YBL041W	YDL147W
YBL041W	YDL188C
YBL041W	YER012W
YBL041W	YHR200W
YBL044W	YLR074C
YBL044W	YMR304W
YBL045C	YDL179W
YBL045C	YDR339C
YBL045C	YDR388W
YBL045C	YGL137W
YBL045C	YIL061C
YBL045C	YKL095W
YBL045C	YLR442C
YBL045C	YML064C
YBL045C	YMR036C
YBL045C	YMR059W
YBL045C	YOR125C
YBL045C	YPL204W
YBL045C	YPR054W
YBL045C	YPR191W
YBL046W	YDL112W
YBL046W	YDR075W
YBL046W	YML010W
YBL046W	YNL201C
YBL047C	YBR109C
YBL047C	YCR030C
YBL047C	YDR348C
YBL047C	YNL243W
YBL047C	YOL054W
YBL047C	YOL087C
YBL047C	YPL153C
YBL047C	YPL204W
YBL049W	YCL039W
YBL049W	YDR255C
YBL049W	YER066CA
YBL049W	YGL227W
YBL049W	YHL010C
YBL049W	YIL017C
YBL049W	YIL097W
YBL049W	YIL142W
YBL049W	YJL014W
YBL049W	YMR135C
YBL050W	YDR189W
YBL050W	YGL095C
YBL051C	YKR059W
YBL051C	YPL204W
YBL051C	YPL235W
YBL056W	YBR097W
YBL056W	YBR247C
YBL056W	YDL059C
YBL056W	YDL060W
YBL056W	YDL145C
YBL056W	YDR071C
YBL056W	YDR076W
YBL056W	YGR205W
YBL056W	YGR240C
YBL056W	YHL030W
YBL056W	YNL250W
YBL056W	YOR086C
YBL056W	YPL204W
YBL058W	YBR114W
YBL058W	YBR223C
YBL058W	YDL126C
YBL058W	YDL190C
YBL058W	YKL213C
YBL061C	YDR247W
YBL064C	YDR069C
YBL064C	YDR488C
YBL066C	YDR247W
YBL074C	YDL208W
YBL074C	YDR283C
YBL074C	YHR165C
YBL075C	YGL130W
YBL075C	YOR250C
YBL076C	YBR055C
YBL076C	YBR058C
YBL076C	YBR109C
YBL076C	YDL100C
YBL076C	YLR016C
YBL076C	YNL244C
YBL076C	YOR080W
YBL076C	YPR110C
YBL080C	YMR104C
YBL084C	YLR127C
YBL085W	YBR238C
YBL087C	YDL171C
YBL087C	YDR361C
YBL087C	YER103W
YBL087C	YER110C
YBL087C	YKL104C
YBL087C	YOL098C
YBL087C	YOR206W
YBL087C	YPL208W
YBL088C	YBR009C
YBL088C	YPL110C
YBL090W	YBR251W
YBL090W	YHL004W
YBL091C	YNL290W
YBL093C	YBR193C
YBL093C	YCR081W
YBL093C	YDR308C
YBL093C	YDR443C
YBL093C	YER022W
YBL093C	YGL025C
YBL093C	YGL151W
YBL093C	YGR104C
YBL093C	YHR041C
YBL093C	YHR058C
YBL093C	YHR147C
YBL093C	YLR071C
YBL093C	YML007W
YBL093C	YMR112C
YBL093C	YNL236W
YBL093C	YNR010W
YBL093C	YOL051W
YBL093C	YOL135C
YBL093C	YOR174W
YBL093C	YPL042C
YBL093C	YPR070W
YBL093C	YPR168W
YBL104C	YDR316W
YBL104C	YGL190C
YBL104C	YOR080W
YBL104C	YPL259C
YBL105C	YGR254W
YBL108W	YHR135C
YBR001C	YDR099W
YBR009C	YBR083W
YBR009C	YBR084W
YBR009C	YBR114W
YBR009C	YDL058W
YBR009C	YDL070W
YBR009C	YDR225W
YBR009C	YDR300C
YBR009C	YDR303C
YBR009C	YDR386W
YBR009C	YDR499W
YBR009C	YEL046C
YBR009C	YER065C
YBR009C	YER075C
YBR009C	YER093C
YBR009C	YER110C
YBR009C	YFR006W
YBR009C	YGL019W
YBR009C	YGL190C
YBR009C	YGR170W
YBR009C	YGR240C
YBR009C	YIL035C
YBR009C	YIL131C
YBR009C	YJL222W
YBR009C	YJR132W
YBR009C	YJR138W
YBR009C	YKL139W
YBR009C	YKR054C
YBR009C	YLR074C
YBR009C	YLR106C
YBR009C	YLR180W
YBR009C	YLR239C
YBR009C	YLR247C
YBR009C	YLR340W
YBR009C	YLR383W
YBR009C	YMR021C
YBR009C	YMR059W
YBR009C	YMR176W
YBR009C	YMR308C
YBR009C	YNL113W
YBR009C	YNL132W
YBR009C	YNL182C
YBR009C	YOL054W
YBR009C	YOL108C
YBR009C	YOR188W
YBR009C	YPL001W
YBR009C	YPL204W
YBR009C	YPR010C
YBR009C	YPR077C
YBR009C	YPR104C
YBR009C	YPR110C
YBR010W	YDL200C
YBR010W	YER142C
YBR010W	YIL035C
YBR010W	YKL103C
YBR011C	YBR109C
YBR011C	YBR217W
YBR011C	YDL203C
YBR011C	YGL120C
YBR011C	YGL237C
YBR011C	YHR030C
YBR011C	YJR062C
YBR011C	YKL108W
YBR011C	YLR371W
YBR011C	YLR425W
YBR011C	YMR267W
YBR011C	YPL066W
YBR011C	YPL111W
YBR011C	YPL153C
YBR011C	YPL204W
YBR014C	YDL100C
YBR017C	YBR120C
YBR017C	YBR205W
YBR017C	YBR247C
YBR017C	YDL063C
YBR017C	YDL204W
YBR017C	YDR002W
YBR017C	YDR062W
YBR017C	YDR071C
YBR017C	YDR216W
YBR017C	YEL051W
YBR017C	YER110C
YBR017C	YGL105W
YBR017C	YGL122C
YBR017C	YGL195W
YBR017C	YGL256W
YBR017C	YGR005C
YBR017C	YGR282C
YBR017C	YHL030W
YBR017C	YHR089C
YBR017C	YIL124W
YBR017C	YKL009W
YBR017C	YKL120W
YBR017C	YKL212W
YBR017C	YKR046C
YBR017C	YLL018C
YBR017C	YLR293C
YBR017C	YMR012W
YBR017C	YMR105C
YBR017C	YMR145C
YBR017C	YMR241W
YBR017C	YNL035C
YBR017C	YNL169C
YBR017C	YOL123W
YBR017C	YOR176W
YBR017C	YOR185C
YBR017C	YOR259C
YBR017C	YOR317W
YBR017C	YPL266W
YBR018C	YGL137W
YBR018C	YHR030C
YBR018C	YKL108W
YBR018C	YMR106C
